username,password,hashedpassword,email,type,gender,card_name,card_no,cvv,card_expiry_date,cash,is_pet_owner,created_at,query
john308,attempt134,$2b$10$Jv6MHm6zp44EXb7MaoSOZOqtScKKmg6YcrNfv9afPNEiJO9aRI/l.,john308@hotmail.com,normal,male,John,7.28989E+15,932,Jul-29,10134,FALSE,30/3/2019,"INSERT INTO users (username, password, email, type, gender, card_name, card_no, cvv, card_expiry_date, cash, is_pet_owner, created_at) VALUES('john308', '$2b$10$Jv6MHm6zp44EXb7MaoSOZOqtScKKmg6YcrNfv9afPNEiJO9aRI/l.', 'john308@hotmail.com', 'normal', 'male', 'John','7289887034586640','932','07/29','10134',False,'2019-03-30');"
william693,clear935,$2b$10$Bq3p2gelD1MeyBvbZIJ0iOsm8pvg0cVatEafaOclaNix.4dj4FYcC,william693@gmail.com,normal,male,William,4.12209E+15,191,Aug-22,10494,FALSE,20/5/2019,"INSERT INTO users (username, password, email, type, gender, card_name, card_no, cvv, card_expiry_date, cash, is_pet_owner, created_at) VALUES('william693', '$2b$10$Bq3p2gelD1MeyBvbZIJ0iOsm8pvg0cVatEafaOclaNix.4dj4FYcC', 'william693@gmail.com', 'normal', 'male', 'William','4122094351199520','191','08/22','10494',False,'2019-05-20');"
james530,inquisitive,$2b$10$8iBRVJ3/lX3ne3frRtf3y.mPc/m.9Xe0qpw30/n0fT/.f0wEVFNf.,james530@gmail.com,normal,male,James,3.29166E+15,210,Jun-25,10406,FALSE,2/3/2019,"INSERT INTO users (username, password, email, type, gender, card_name, card_no, cvv, card_expiry_date, cash, is_pet_owner, created_at) VALUES('james530', '$2b$10$8iBRVJ3/lX3ne3frRtf3y.mPc/m.9Xe0qpw30/n0fT/.f0wEVFNf.', 'james530@gmail.com', 'normal', 'male', 'James','3291660179354060','210','06/25','10406',False,'2019-03-02');"
charles27,discreet202,$2b$10$xW9HUrvT4FzkdfSOiIxm0.kFQpFRVGcoVY9WfjS4ruHS8qJqKGqZi,charles27@gmail.com,normal,male,Charles,4.42441E+15,301,Dec-29,10724,FALSE,8/4/2019,"INSERT INTO users (username, password, email, type, gender, card_name, card_no, cvv, card_expiry_date, cash, is_pet_owner, created_at) VALUES('charles27', '$2b$10$xW9HUrvT4FzkdfSOiIxm0.kFQpFRVGcoVY9WfjS4ruHS8qJqKGqZi', 'charles27@gmail.com', 'normal', 'male', 'Charles','4424408176705720','301','12/29','10724',False,'2019-04-08');"
george9,robin290,$2b$10$MUkG8oKR1/eyJwlchQSCsO7w34fQJl8bRUo6rWF9csMsGFim0nH4u,george9@hotmail.com,normal,male,George,2.59666E+15,595,May-23,10739,FALSE,16/5/2019,"INSERT INTO users (username, password, email, type, gender, card_name, card_no, cvv, card_expiry_date, cash, is_pet_owner, created_at) VALUES('george9', '$2b$10$MUkG8oKR1/eyJwlchQSCsO7w34fQJl8bRUo6rWF9csMsGFim0nH4u', 'george9@hotmail.com', 'normal', 'male', 'George','2596659804038930','595','05/23','10739',False,'2019-05-16');"
frank354,count873,$2b$10$2TJGpVrY9Z.ETYer9mRtReGVeZ9ag4vYREEP8rQM1CM.qolMuAHuO,frank354@hotmail.com,normal,male,Frank,4.12114E+15,132,Feb-21,10553,FALSE,12/4/2019,"INSERT INTO users (username, password, email, type, gender, card_name, card_no, cvv, card_expiry_date, cash, is_pet_owner, created_at) VALUES('frank354', '$2b$10$2TJGpVrY9Z.ETYer9mRtReGVeZ9ag4vYREEP8rQM1CM.qolMuAHuO', 'frank354@hotmail.com', 'normal', 'male', 'Frank','4121144259387920','132','02/21','10553',False,'2019-04-12');"
joseph839,aloof909,$2b$10$A42f1oqLITBy95Gio7s6wO13dI30KkKb4dyUoiocyJC6AMr96M.m.,joseph839@hotmail.com,normal,male,Joseph,2.45929E+15,448,Apr-21,10459,FALSE,18/5/2019,"INSERT INTO users (username, password, email, type, gender, card_name, card_no, cvv, card_expiry_date, cash, is_pet_owner, created_at) VALUES('joseph839', '$2b$10$A42f1oqLITBy95Gio7s6wO13dI30KkKb4dyUoiocyJC6AMr96M.m.', 'joseph839@hotmail.com', 'normal', 'male', 'Joseph','2459294294656460','448','04/21','10459',False,'2019-05-18');"
thomas83,guess281,$2b$10$2ooV.uJunLS66KDN3ygTue3EdeAydtmhh3rOYR2Apf3IXEFnvfQZi,thomas83@hotmail.com,normal,male,Thomas,9.01181E+15,268,Feb-21,10041,FALSE,2/4/2019,"INSERT INTO users (username, password, email, type, gender, card_name, card_no, cvv, card_expiry_date, cash, is_pet_owner, created_at) VALUES('thomas83', '$2b$10$2ooV.uJunLS66KDN3ygTue3EdeAydtmhh3rOYR2Apf3IXEFnvfQZi', 'thomas83@hotmail.com', 'normal', 'male', 'Thomas','9011808681180740','268','02/21','10041',False,'2019-04-02');"
henry329,wonder922,$2b$10$6SwzbL0fG61uF//C89D9TO8VW2lNlG8AbbbSu5XpPOEowJMEGd20S,henry329@gmail.com,normal,male,Henry,7.54435E+15,186,Feb-30,10522,FALSE,22/5/2019,"INSERT INTO users (username, password, email, type, gender, card_name, card_no, cvv, card_expiry_date, cash, is_pet_owner, created_at) VALUES('henry329', '$2b$10$6SwzbL0fG61uF//C89D9TO8VW2lNlG8AbbbSu5XpPOEowJMEGd20S', 'henry329@gmail.com', 'normal', 'male', 'Henry','7544349184714720','186','02/30','10522',False,'2019-05-22');"
robert769,bewildered,$2b$10$wJaBFE1dPEZyTpxm6UdqFOlJl0tnLTMGJppGKFhRRdiRuivnVHZve,robert769@hotmail.com,normal,male,Robert,3.27076E+15,219,Jul-22,10009,FALSE,27/5/2019,"INSERT INTO users (username, password, email, type, gender, card_name, card_no, cvv, card_expiry_date, cash, is_pet_owner, created_at) VALUES('robert769', '$2b$10$wJaBFE1dPEZyTpxm6UdqFOlJl0tnLTMGJppGKFhRRdiRuivnVHZve', 'robert769@hotmail.com', 'normal', 'male', 'Robert','3270763347198740','219','07/22','10009',False,'2019-05-27');"
edward503,meaty754,$2b$10$C/uEbq6.ZAEqroxqkKpwsujlCjHKjUKgb4N/OE6t8Z6ntP9Z0RV8e,edward503@hotmail.com,normal,male,Edward,1.97158E+15,634,Jan-28,10340,FALSE,19/4/2019,"INSERT INTO users (username, password, email, type, gender, card_name, card_no, cvv, card_expiry_date, cash, is_pet_owner, created_at) VALUES('edward503', '$2b$10$C/uEbq6.ZAEqroxqkKpwsujlCjHKjUKgb4N/OE6t8Z6ntP9Z0RV8e', 'edward503@hotmail.com', 'normal', 'male', 'Edward','1971576052558230','634','01/28','10340',False,'2019-04-19');"
harry431,cherry400,$2b$10$VlDX0/R/aE77ifPKJT/VXu2/uv4Iz0RkEpEv3Kpv0Q1Cl93uxkIDi,harry431@hotmail.com,normal,male,Harry,7.60118E+15,129,Jul-24,10880,FALSE,30/4/2019,"INSERT INTO users (username, password, email, type, gender, card_name, card_no, cvv, card_expiry_date, cash, is_pet_owner, created_at) VALUES('harry431', '$2b$10$VlDX0/R/aE77ifPKJT/VXu2/uv4Iz0RkEpEv3Kpv0Q1Cl93uxkIDi', 'harry431@hotmail.com', 'normal', 'male', 'Harry','7601180775318690','129','07/24','10880',False,'2019-04-30');"
